Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s),Weather Code,"Weather Description_Mainly clear, partly cloudy, and overcast","Weather Description_Rain showers: Slight, moderate, and violent",Weather Description_Thunderstorm with slight and heavy hail,Weather Description_Thunderstorm: Slight or moderate,CO,Weather
2024-12-26 13:36:35,29.16291391,75.41059603,11.69072848,3,0,0,0,0,401.7721910592533,Other
2024-12-26 13:42:20,29.14569536,75.52980132,11.63642384,3,0,0,0,0,402.01550673357445,Other
2024-12-26 13:48:59,29.12847682,75.64900662,11.58211921,3,0,0,0,0,400.21939376881545,Other
2024-12-26 13:54:42,29.11125828,75.76821192,11.52781457,3,0,0,0,0,401.9726323595942,Other
2024-12-26 14:00:34,29.09403974,75.88741722,11.47350993,3,0,0,0,0,403.3509291573564,Other
2024-12-26 14:06:12,29.07682119,76.00662252,11.4192053,3,0,0,0,0,402.69921595489365,Other
2024-12-26 14:12:56,29.05960265,76.12582781,11.36490066,3,0,0,0,0,402.28267299195875,Other
2024-12-26 14:18:48,29.04238411,76.24503311,11.31059603,3,0,0,0,0,402.15466106634983,Other
2024-12-26 14:24:53,29.02516556,76.36423841,11.25629139,3,0,0,0,0,403.09588338976926,Other
2024-12-26 14:30:53,29.00794702,76.48344371,11.20198675,3,0,0,0,0,400.8153412355205,Other
2024-12-26 14:36:09,28.99072848,76.60264901,11.14768212,3,0,0,0,0,402.43586025732174,Other
2024-12-26 14:42:52,28.97350993,76.7218543,11.09337748,3,0,0,0,0,402.9340063709815,Other
2024-12-26 14:48:43,28.95629139,76.8410596,11.03907285,3,0,0,0,0,400.7439475968124,Other
2024-12-26 14:54:46,28.93907285,76.9602649,10.98476821,3,0,0,0,0,401.3418524914443,Other
2024-12-26 15:00:52,28.9218543,77.0794702,10.93046358,3,0,0,0,0,401.93524672339436,Other
2024-12-26 15:06:09,28.90463576,77.1986755,10.87615894,3,0,0,0,0,401.2286374868619,Other
2024-12-26 15:12:45,28.88741722,77.31788079,10.8218543,3,0,0,0,0,401.7038856868198,Other
2024-12-26 15:18:12,28.87019868,77.43708609,10.76754967,3,0,0,0,0,402.54560206358246,Other
2024-12-26 15:24:36,28.85298013,77.55629139,10.71324503,3,0,0,0,0,402.1424953238281,Other
2024-12-26 15:30:37,28.83576159,77.67549669,10.6589404,3,0,0,0,0,401.2813015553755,Other
2024-12-26 15:36:23,28.81854305,77.79470199,10.60463576,3,0,0,0,0,400.0,Other
2024-12-26 15:42:01,28.8013245,77.91390728,10.55033113,3,0,0,0,0,402.34503532999986,Other
2024-12-26 15:48:21,28.78410596,78.03311258,10.49602649,3,0,0,0,0,401.4399241965025,Other
2024-12-26 15:54:16,28.76688742,78.15231788,10.44172185,3,0,0,0,0,401.7931028592524,Other
2024-12-26 16:00:35,28.74966887,78.27152318,10.38741722,3,0,0,0,0,400.78353240882166,Other
2024-12-26 16:06:13,28.73245033,78.39072848,10.33311258,3,0,0,0,0,402.6264201732848,Other
2024-12-26 16:12:09,28.71523179,78.50993377,10.27880795,3,0,0,0,0,401.53862573373027,Other
2024-12-26 16:18:34,28.69801325,78.62913907,10.22450331,3,0,0,0,0,402.561517513328,Other
